[21:10:37] J7: Balón detectado: dist=40.40 ang=59.0 → bx=20.81, by=34.63
[21:10:38] J7: Balón detectado: dist=40.40 ang=3.0 → bx=40.34, by=2.11
[21:10:38] J7: Balón detectado: dist=36.60 ang=3.0 → bx=36.55, by=1.92
[21:10:38] J7: Balón detectado: dist=36.60 ang=3.0 → bx=36.55, by=1.92
[21:10:38] J7: Balón detectado: dist=36.60 ang=3.0 → bx=36.55, by=1.92
[21:10:38] J7: Balón detectado: dist=36.60 ang=3.0 → bx=36.55, by=1.92
[21:10:39] J7: Balón detectado: dist=36.60 ang=3.0 → bx=36.55, by=1.92
[21:10:39] J7: Balón detectado: dist=33.10 ang=3.0 → bx=33.05, by=1.73
[21:10:39] J7: Balón detectado: dist=33.10 ang=3.0 → bx=33.05, by=1.73
[21:10:39] J7: Balón detectado: dist=33.10 ang=3.0 → bx=33.05, by=1.73
[21:10:40] J7: Balón detectado: dist=33.10 ang=4.0 → bx=33.02, by=2.31
[21:10:40] J7: Balón detectado: dist=33.10 ang=1.0 → bx=33.09, by=0.58
[21:10:40] J7: Balón detectado: dist=33.10 ang=1.0 → bx=33.09, by=0.58
[21:10:40] J7: Balón detectado: dist=30.00 ang=1.0 → bx=30.00, by=0.52
[21:10:41] J7: Balón detectado: dist=30.00 ang=1.0 → bx=30.00, by=0.52
[21:10:41] J7: Balón detectado: dist=30.00 ang=1.0 → bx=30.00, by=0.52
[21:10:41] J7: Balón detectado: dist=30.00 ang=1.0 → bx=30.00, by=0.52
[21:10:41] J7: Balón detectado: dist=27.10 ang=1.0 → bx=27.10, by=0.47
[21:10:41] J7: Balón detectado: dist=27.10 ang=0.0 → bx=27.10, by=0.00
[21:10:42] J7: Balón detectado: dist=27.10 ang=1.0 → bx=27.10, by=0.47
[21:10:42] J7: Balón detectado: dist=27.10 ang=1.0 → bx=27.10, by=0.47
[21:10:42] J7: Balón detectado: dist=24.50 ang=1.0 → bx=24.50, by=0.43
[21:10:42] J7: Balón detectado: dist=24.50 ang=1.0 → bx=24.50, by=0.43
[21:10:42] J7: Balón detectado: dist=24.50 ang=1.0 → bx=24.50, by=0.43
[21:10:43] J7: Balón detectado: dist=22.20 ang=1.0 → bx=22.20, by=0.39
[21:10:43] J7: Balón detectado: dist=22.20 ang=1.0 → bx=22.20, by=0.39
[21:10:43] J7: Balón detectado: dist=22.20 ang=1.0 → bx=22.20, by=0.39
[21:10:43] J7: Balón detectado: dist=20.10 ang=1.0 → bx=20.10, by=0.35
[21:10:44] J7: Balón detectado: dist=20.10 ang=1.0 → bx=20.10, by=0.35
[21:10:44] J7: Balón detectado: dist=20.10 ang=1.0 → bx=20.10, by=0.35
[21:10:44] J7: Balón detectado: dist=18.20 ang=1.0 → bx=18.20, by=0.32
[21:10:44] J7: Balón detectado: dist=18.20 ang=1.0 → bx=18.20, by=0.32
[21:10:44] J7: Balón detectado: dist=18.20 ang=1.0 → bx=18.20, by=0.32
[21:10:45] J7: Balón detectado: dist=16.40 ang=1.0 → bx=16.40, by=0.29
[21:10:45] J7: Balón detectado: dist=16.40 ang=1.0 → bx=16.40, by=0.29
[21:10:45] J7: Balón detectado: dist=16.40 ang=1.0 → bx=16.40, by=0.29
[21:10:45] J7: Balón detectado: dist=14.90 ang=1.0 → bx=14.90, by=0.26
[21:10:46] J7: Balón detectado: dist=14.90 ang=1.0 → bx=14.90, by=0.26
[21:10:46] J7: Balón detectado: dist=13.50 ang=1.0 → bx=13.50, by=0.24
[21:10:46] J7: Balón detectado: dist=13.50 ang=2.0 → bx=13.49, by=0.47
