[21:10:00] J9: Balón detectado: dist=40.40 ang=-18.0 → bx=38.42, by=-12.48
[21:10:01] J9: Balón detectado: dist=40.40 ang=-33.0 → bx=33.88, by=-22.00
[21:10:01] J9: Balón detectado: dist=40.40 ang=-33.0 → bx=33.88, by=-22.00
[21:10:01] J9: Balón detectado: dist=40.40 ang=-33.0 → bx=33.88, by=-22.00
[21:10:01] J9: Balón detectado: dist=40.40 ang=-33.0 → bx=33.88, by=-22.00
[21:10:01] J9: Balón detectado: dist=40.40 ang=-33.0 → bx=33.88, by=-22.00
[21:10:01] J9: Balón detectado: dist=40.40 ang=-33.0 → bx=33.88, by=-22.00
[21:10:02] J9: Balón detectado: dist=40.40 ang=-13.0 → bx=39.36, by=-9.09
[21:10:02] J9: Balón detectado: dist=40.40 ang=-34.0 → bx=33.49, by=-22.59
[21:10:02] J9: Balón detectado: dist=40.40 ang=1.0 → bx=40.39, by=0.71
[21:10:20] J9: Balón detectado: dist=54.60 ang=52.0 → bx=33.62, by=43.03
[21:10:20] J9: Balón detectado: dist=54.60 ang=-3.0 → bx=54.53, by=-2.86
[21:10:21] J9: Balón detectado: dist=54.60 ang=-3.0 → bx=54.53, by=-2.86
[21:10:21] J9: Balón detectado: dist=54.60 ang=-3.0 → bx=54.53, by=-2.86
[21:10:21] J9: Balón detectado: dist=54.60 ang=-3.0 → bx=54.53, by=-2.86
[21:10:21] J9: Balón detectado: dist=49.40 ang=-3.0 → bx=49.33, by=-2.59
[21:10:21] J9: Balón detectado: dist=49.40 ang=-3.0 → bx=49.33, by=-2.59
[21:10:22] J9: Balón detectado: dist=49.40 ang=-3.0 → bx=49.33, by=-2.59
[21:10:22] J9: Balón detectado: dist=49.40 ang=-3.0 → bx=49.33, by=-2.59
[21:10:22] J9: Balón detectado: dist=49.40 ang=-3.0 → bx=49.33, by=-2.59
[21:10:22] J9: Balón detectado: dist=49.40 ang=-3.0 → bx=49.33, by=-2.59
[21:10:23] J9: Balón detectado: dist=44.70 ang=-3.0 → bx=44.64, by=-2.34
[21:10:23] J9: Balón detectado: dist=44.70 ang=-3.0 → bx=44.64, by=-2.34
[21:10:23] J9: Balón detectado: dist=44.70 ang=-3.0 → bx=44.64, by=-2.34
[21:10:23] J9: Balón detectado: dist=44.70 ang=-4.0 → bx=44.59, by=-3.12
[21:10:23] J9: Balón detectado: dist=44.70 ang=-1.0 → bx=44.69, by=-0.78
[21:10:24] J9: Balón detectado: dist=44.70 ang=-1.0 → bx=44.69, by=-0.78
[21:10:24] J9: Balón detectado: dist=44.70 ang=-2.0 → bx=44.67, by=-1.56
[21:10:24] J9: Balón detectado: dist=44.70 ang=-2.0 → bx=44.67, by=-1.56
[21:10:24] J9: Balón detectado: dist=40.40 ang=-2.0 → bx=40.38, by=-1.41
[21:10:25] J9: Balón detectado: dist=40.40 ang=-2.0 → bx=40.38, by=-1.41
[21:10:25] J9: Balón detectado: dist=40.40 ang=-2.0 → bx=40.38, by=-1.41
[21:10:25] J9: Balón detectado: dist=40.40 ang=-2.0 → bx=40.38, by=-1.41
[21:10:25] J9: Balón detectado: dist=36.60 ang=-2.0 → bx=36.58, by=-1.28
[21:10:25] J9: Balón detectado: dist=36.60 ang=-2.0 → bx=36.58, by=-1.28
[21:10:26] J9: Balón detectado: dist=36.60 ang=-2.0 → bx=36.58, by=-1.28
[21:10:26] J9: Balón detectado: dist=36.60 ang=-2.0 → bx=36.58, by=-1.28
[21:10:26] J9: Balón detectado: dist=36.60 ang=-2.0 → bx=36.58, by=-1.28
[21:10:26] J9: Balón detectado: dist=33.10 ang=-2.0 → bx=33.08, by=-1.16
[21:10:27] J9: Balón detectado: dist=33.10 ang=-2.0 → bx=33.08, by=-1.16
[21:10:27] J9: Balón detectado: dist=33.10 ang=-2.0 → bx=33.08, by=-1.16
[21:10:27] J9: Balón detectado: dist=33.10 ang=-2.0 → bx=33.08, by=-1.16
[21:10:27] J9: Balón detectado: dist=30.00 ang=-3.0 → bx=29.96, by=-1.57
